[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=1512
COLUMN_HEADERS=('time', '[S1]', '[S2]')

[DATA]
3.36863,5.165541385582767e-006,0.0001448344586144174
3.37525,5.131466839663083e-006,0.0001448685331603371
3.38187,5.097617093473369e-006,0.0001449023829065268
3.38848,5.063990681291586e-006,0.0001449360093187086
3.3951,5.030586149013231e-006,0.0001449694138509869
3.40172,4.997402054151315e-006,0.0001450025979458489
3.40834,4.964436949463487e-006,0.0001450355630505367
3.41496,4.931689271981333e-006,0.0001450683107280188
3.42158,4.899157558348934e-006,0.0001451008424416512
3.42819,4.866840383970164e-006,0.00014513315961603
3.43481,4.834736334583885e-006,0.0001451652636654162
3.44143,4.802844006263973e-006,0.0001451971559937362
3.44805,4.771162005419296e-006,0.0001452288379945808
3.45467,4.739688948793732e-006,0.0001452603110512064
3.46128,4.708423463466153e-006,0.000145291576536534
3.4679,4.677364186850435e-006,0.0001453226358131497
3.47452,4.646509766695461e-006,0.0001453534902333047
3.48114,4.615858861085106e-006,0.000145384141138915
3.48776,4.585410138438256e-006,0.0001454145898615619
3.49437,4.555162277508791e-006,0.0001454448377224913
3.50099,4.525113967385599e-006,0.0001454748860326145
3.50761,4.495263907492561e-006,0.0001455047360925076
3.51423,4.465610807588572e-006,0.0001455343891924116
3.52085,4.436153387767516e-006,0.0001455638466122326
3.52747,4.406890378458286e-006,0.0001455931096215418
3.53408,4.377820520424777e-006,0.0001456221794795754
3.5407,4.348942564304195e-006,0.0001456510574356959
3.54732,4.320255150955324e-006,0.0001456797448490448
3.55394,4.2917569369042e-006,0.0001457082430630959
3.56056,4.263446671983754e-006,0.0001457365533280164
3.56717,4.235323114890062e-006,0.0001457646768851101
3.57379,4.207385033182359e-006,0.0001457926149668178
3.58041,4.179631203283024e-006,0.0001458203687967171
3.58703,4.152060410477596e-006,0.0001458479395895225
3.59365,4.124671448914761e-006,0.0001458753285510854
3.60026,4.097463121606357e-006,0.0001459025368783938
3.60688,4.070434240427376e-006,0.0001459295657595728
3.6135,4.04358362611596e-006,0.0001459564163738842
3.62012,4.016910108273406e-006,0.0001459830898917267
3.62674,3.990412525364158e-006,0.000146009587474636
3.63336,3.964089724715818e-006,0.0001460359102752843
3.63997,3.937940562519133e-006,0.000146062059437481
3.64659,3.911963903828009e-006,0.0001460880360961721
3.65321,3.886158622559499e-006,0.0001461138413774406
3.65983,3.860523601493809e-006,0.0001461394763985063
3.66645,3.835057732274299e-006,0.0001461649422677259
3.67306,3.809759915407478e-006,0.0001461902400845927
3.67968,3.784629025687436e-006,0.0001462153709743127
3.6863,3.759663874400507e-006,0.0001462403361255996
3.69292,3.734863362360217e-006,0.00014626513663764
3.69954,3.710226403823031e-006,0.0001462897735961771
3.70615,3.685751920946884e-006,0.0001463142480790533
3.71277,3.661438843791174e-006,0.000146338561156209
3.71939,3.637286110316762e-006,0.0001463627138896834
3.72601,3.61329266638598e-006,0.0001463867073336142
3.73263,3.589457465762618e-006,0.0001464105425342375
3.73925,3.56577947011194e-006,0.0001464342205298882
3.74586,3.542257649000665e-006,0.0001464577423509995
3.75248,3.518890979896986e-006,0.0001464811090201032
3.7591,3.495678448170555e-006,0.0001465043215518296
3.76572,3.472619047092495e-006,0.0001465273809529077
3.77234,3.449711777835388e-006,0.0001465502882221648
3.77895,3.426955649473284e-006,0.0001465730443505269
3.78557,3.404349678981701e-006,0.0001465956503210185
3.79219,3.381892891237616e-006,0.0001466181071087625
